CODE,zh
NAME,简体中文
MCU_NAM,More CitizenUnits
MCU_DESC,增加游戏支持的公民单位(不是公民!)
MCU_FIX,载入的时候检测并修复无效的公民单位
MCU_CLEAN,当CitizenUnit数组损坏时尝试恢复
MCU_NUKE,在下次加载时重置整个CitizenUnit数组
MCU_NUKE_TXT1,选中该选项将在下次加载城市的整个CitizenUnit数组时从头开始重建。这将重置所有车辆和建筑能力到它们当前的计算值(包括 Ploppable RICO Revisited和Realistic Population的影响)，并分配您现有的人口到最好的固定值。
MCU_NUKE_TXT2,这个选项可能会导致城市人口暂时下降，但将确保任何数据损坏是可修复的。
MCU_NUKE_TXT3,如果遇到可能表明CitizenUnit数组已损坏的错误，比如在CitizenUnit限制尚未达到时，建筑的人口为0/0，或者建筑的人口似乎毫无理由地波动，请尝试此方法。
MCU_NUKE_TXT4,此选项将自动禁用，一旦使用，正常后续不应该被使用。
TRN_CHOICE,语言设定
TRN_SYS,使用游戏默认语言